15184388	USF1	TGFB1	Activation	-	citation, and isn't found in this essay
15184388	USF1	THBS1	Unknown	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis
10978529	NFIC	POLD2	Unknown	COS-7	不建议使用这一篇，方法不对
16595680	KLF5	BIRC5	Activation	EU cellline from BCP-ALL patients	EMSA, ChIP, siRNA knockdown, Co-IP, Northern blog, WB
16595680	Sp1	BIRC5	Unknown	Hela cellline	citation
16595680	p53	BIRC5	Repression	-	citation
16595680	TCF	BIRC5	Unknown	-	citation
16595680	KLF4	CDKN1A	Unknown	-	citation	KLF4-p53
16595680	KLF6	IGF-IR	Unknown	-	citation	KLF6-p53
16595680	p53	CDKN1A	Unknown	-	citation	KLF4-p53
16595680	p53	IGF-IR	Unknown	-	citation	KLF6-p53
15195143	E2F4	MCM10	Repression	HCT116	luciferase reporter assay, RT-PCR, ChIP
15195143	E2F4	TOPBP1	Repression	HCT116	luciferase reporter assay, RT-PCR, ChIP
15195143	E2F1	MCM10	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB
15195143	E2F2	MCM10	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis
15195143	E2F3	MCM10	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis
15195143	E2F1	TOPBP1	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB
15195143	E2F2	TOPBP1	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis
15195143	E2F3	TOPBP1	Activation	HCT116	luciferase reporter assay, Site-directed Mutagenesis
11706010	CTCF	APP	Repression	HeLa, COS-1	Immunodepletion, Mobility Shift Electrophoresis, In Vitro Transcription, in vivo competition
17204573	STAT3	FOS	Activation	primary cells from vastus lateralis	citation, RT-qPCR
17204573	STAT3	JUNB	Activation	primary cells from vastus lateralis	citation, RT-qPCR
17204573	STAT3	MYC	Activation	primary cells from vastus lateralis	citation, RT-qPCR
17204573	STAT3	CCND1	Activation	-	citation
17204573	STAT3	BCL2	Activation	-	citation
17204573	STAT3	BCL2L1	Activation	-	citation
17204573	STAT3	VEGFA	Activation	-primary cells from vastus lateralis	citation, RT-qPCR
19043455	CEBPB	BCL2L1	Unknown	MCF10A	RT-PCR, WB, Luciferase reporter assay, EMSA, ChIP, Site-directed mutagenesis, Overexpression
17932312	EGR1	TNFSF10	Repression	HUVEC	citation
15688019	RUNX3	RUNX1	Repression	DG75, Akata31, IB4, LCL-C	EMSA, RPA, Luciferase reporter assay, WB
15688019	RUNX3	RUNX3	Unknown	-	citation
14642566	NFIC	SMUG1	Activation	Hela, 18Co	luciferase reporter assay, Northern Blog, EMSA, DNase I footprint, site-directed mutagenesis
19290488	RUNX3	CASP3	Activation	AGS, SNU1, primary cells from the representative cancerous lesions and from adjacent noncancerous tissues	TUNEL assay, WB
19290488	RUNX3	CDKN1A	Unknown	-	citation
19290488	RUNX3	CCND1	Repression	-	citation
10082553	UBTF	TAF1B （maybe wrong, protein to protein)）	Unknown	HeLa	Co-IP, In vitro transcription, DNase I footprint assay, SDS-PAGE
10211993	ETS1	PLAU	Unknown	Glioma cells	antisense knockdown, casein zymography
15178343	ARNT	EGLN2	Unknown	primary human smooth muscle cells, HCT116	luciferase reporter assay, ChIP(HCT116), RT-PCR
15735663	ATF7	CCNA2	Unknown	-	citation
10453008	CEBPA	CSF2RB	Unknown	U937	(maybe) EMSA, site-directed mutagenesis
10453008	CEBPB	CSF2RB	Unknown	U937	(maybe) EMSA, site-directed mutagenesis
10453008	CEBPE	CSF2RB	Unknown	HL-60	(maybe) EMSA, site-directed mutagenesis
10453008	SPI1	CSF2RB	Unknown	-	(maybe) citation
