PMID	Relationship_Count	Relationships
8264596	2	E2F1->RB1(Activation); RB1->RB1(Repression)
8270002	2	RB1->CDK1(Unknown); TP53->CCNA2(Unknown)
8288055	2	CEBPA->INSR(Activation); CEBPB->INSR(Activation)
8349585	1	SP1->EGR1(Activation)
8355712	1	SP1->MYC(Unknown)
8383844	1	DBP->ALDOB(Activation)
8385337	1	CEBPD->C3(Unknown)
8389468	2	TP53->CKM(Activation); WT1->CKM(Activation)
8406004	1	SPI1->JCHAIN(Unknown)
8408012	1	GATA1->ITGA2B(Unknown)
8413215	2	NFKB1->CXCL8(Repression); RELA->CXCL8(Repression)
8413220	1	ETS1->IL2RB(Activation)
8413223	3	NFKB1->IL1B(Activation); REL->IL1B(Activation); RELA->IL1B(Activation)
8413295	2	ETS1->CD8A(Activation); GATA3->CD8A(Activation)
8415628	1	WT1->PDGFA(Unknown)
8423810	2	GATA1->HBE1(Unknown); NFE2->HBE1(Unknown)
8441395	1	FOXA1->APOB(Activation)
8450395	1	SP1->RELA(Unknown)
8454603	1	SP1->IL3(Unknown)
8455624	1	HSF1->HSPA4(Activation)
8468462	1	JUN->IL2(Unknown)
8476854	3	FOS->PDHA1(Unknown); JUN->PDHA1(Unknown); SP1->PDHA1(Unknown)
8479911	1	LEF1->TCF3(Unknown)
8494784	1	MYC->TP53(Activation)
8495744	1	FOXA1->NF1(Activation)
8503862	1	SP1->PDIA2(Activation)
8513868	1	GATA1->EPOR(Unknown)
8521821	3	PAX2->TP53(Repression); PAX5->TP53(Repression); PAX8->TP53(Repression)
8521844	1	SP1->EPOR(Repression)
8524227	1	CEBPB->TOP1(Unknown)
8547328	1	NFIL3->IL1B(Repression)
8548503	2	SP1->TF(Unknown); YY1->TF(Unknown)
8550612	1	YY1->IVL(Unknown)
8557038	4	E2F1->TP53(Repression); TFDP1->TP53(Repression); TP53->E2F1(Repression); TP53->REEP5(Repression)
8557630	1	SP1->GSTP1(Activation)
8561897	1	SP1->CCK(Unknown)
8567696	1	SP1->F10(Unknown)
8575214	2	RB1->E2F1(Unknown); RBL2->E2F4(Unknown)
8576171	2	ATF2->ATF3(Activation); JUN->ATF3(Activation)
8576248	2	EGR1->F3(Unknown); SP1->F3(Unknown)
8584035	1	SP1->HSD3B1(Activation)
8585946	1	MZF1->CD34(Unknown)
8585955	1	RUNX1->CSF1R(Unknown)
8598458	1	NFIC->C4BPB(Activation)
8602863	2	FOXA2->TPO(Activation); TTF2->TPO(Activation)
8603036	1	CEBPB->CYP19A1(Unknown)
8604351	1	WT1->ODC1(Activation)
8613256	2	NFKB1->AGT(Unknown); RELA->AGT(Unknown)
8617210	3	DBP->CYP7A1(Activation); TEF->ALB(Activation); TEF->DBP(Unknown)
8617886	3	NFKB1->CCL2(Unknown); RELA->CCL2(Unknown); RELA->CXCL8(Unknown)
8618861	2	E2F1->CCND1(Activation); E2F1->CCNE1(Activation)
8621622	1	STAT3->CSRP1(Activation)
8621697	1	TFAP2A->EGFR(Unknown)
8622878	1	IRF1->EIF2AK2(Activation)
8625303	1	VHL->VEGFA(Activation)
8626413	2	PGR->RELA(Repression); RELA->PGR(Repression)
8626436	1	AR->KLK3(Activation)
8626793	2	MAZ->HTR1A(Unknown); SP1->HTR1A(Unknown)
8627152	1	PAX5->XBP1(Repression)
8628255	1	RBL1->HIST1H2AE(Repression)
8631128	2	AHR->CYP1A1(Unknown); ARNT->CYP1A1(Unknown)
8631989	1	AHR->ARNT(Unknown)
8633043	1	PAX3->MET(Unknown)
8634146	2	EGR1->IGF2(Activation); WT1->IGF2(Repression)
8642300	1	TP53->GC(Unknown)
8642699	1	RBL1->CCNA2(Repression)
8647095	3	ATF2->PLAT(Activation); CREB1->JUN(Repression); CREB1->PLAT(Repression)
8647845	3	STAT1->IRF1(Activation); STAT2->IRF1(Activation); STAT3->IRF1(Activation)
8649367	1	SUPT3H->NEDD4L(Activation)
8649405	2	JUN->ITGAX(Unknown); SP1->ITGAX(Unknown)
8649434	1	JUN->ITGAX(Unknown)
8657143	2	SP1->FES(Unknown); SPI1->FES(Unknown)
8660656	2	SP1->POR(Activation); SP1->POR(Repression)
8662930	1	SP1->MPO(Activation)
8663540	2	ARNT->EPO(Activation); HIF1A->EPO(Activation)
8670251	2	SP1->ITGB2(Unknown); SPI1->ITGB2(Unknown)
8670811	1	DR1->TBP(Unknown)
8675499	1	STAT3->ICAM1(Unknown)
8677751	3	GATA1->EPO(Repression); GATA2->EPO(Repression); GATA3->EPO(Repression)
8679226	6	NFKB1->IL1B(Activation); NFKB1->IL6(Activation); NFKB1->TNF(Activation); RELA->IL1B(Activation); RELA->IL6(Activation); RELA->TNF(Activation)
8681971	2	IRF9->PML(Activation); IRF9->SP100(Activation)
8683991	1	CBFB->GATA1(Unknown)
8688489	2	FOS->IL1A(Unknown); JUN->IL1A(Unknown)
8702507	1	EGR1->FGF2(Activation)
8703016	1	GATA1->GP1BB(Activation)
8703909	1	HNF1A->CRP(Unknown)
8704203	3	ETS1->IL3(Unknown); JUNB->IL3(Unknown); JUND->IL3(Unknown)
8725624	3	CEBPB->IL6(Activation); CREB1->IL6(Activation); NFKB1->IL6(Activation)
8752656	2	NFKB1->IL6(Unknown); RELA->IL6(Unknown)
8753872	1	YY1->DBH(Activation)
8756632	2	YY1->IFNG(Activation); YY1->IFNG(Repression)
8756643	1	HOXB7->FGF2(Activation)
8757327	1	STAT6->IL1R1(Activation)
8759021	1	TFAP2A->HOXA4(Repression)
8761947	1	JUN->PLAUR(Unknown)
8774732	1	SP1->VAMP2(Activation)
8776721	1	SP3->IGFBP1(Unknown)
8786306	1	EGR1->LTB(Unknown)
8798690	1	SREBF1->FDPS(Unknown)
8798754	1	WT1->UBE2I(Repression)
8798756	1	JUN->DCN(Repression)
8809111	2	SP1->MNDA(Unknown); SPI1->MNDA(Unknown)
8810321	3	ETV4->TIMP2(Unknown); JUN->TIMP2(Unknown); TFAP2A->TIMP2(Unknown)
8814256	4	CREB1->IL2(Unknown); NFKB1->IL2(Unknown); RELA->IL2(Unknown); SP1->IL2(Unknown)
8816448	1	POU2F3->SPRR2A(Unknown)
8816507	2	NF1->TP53(Activation); YY1->TP53(Activation)
8834450	1	NFKB1->IL2(Unknown)
8836133	2	FOS->MELTF(Unknown); JUN->MELTF(Unknown)
8838813	1	MXI1->MYC(Repression)
8855222	1	VHL->VEGFA(Repression)
8861958	1	PAX8->WT1(Activation)
8861962	1	MYC->DDX18(Unknown)
8866550	1	PDX1->GCK(Activation)
8878392	4	NFKB1->CXCL8(Unknown); NFKB1->SELE(Unknown); RELA->CXCL8(Unknown); RELA->SELE(Unknown)
8895512	2	ERG->VIM(Activation); ETV4->VIM(Activation)
8895520	6	MYCN->HLA-A(Unknown); MYCN->HLA-B(Unknown); MYCN->HLA-C(Unknown); MYCN->HLA-E(Unknown); MYCN->HLA-F(Unknown); MYCN->HLA-G(Unknown)
8900159	2	EGR1->IFNG(Unknown); USF1->IFNG(Unknown)
8901568	1	CREM->ACE(Activation)
8910439	1	SP1->VEGFA(Unknown)
8910550	2	CEBPZ->COL1A2(Unknown); YY1->COL1A2(Unknown)
8910619	7	CEBPA->SERPINC1(Activation); FOXA1->SERPINC1(Repression); FOXA2->SERPINC1(Repression); HNF4A->SERPINC1(Activation); NR2F1->SERPINC1(Repression); RXRA->SERPINC1(Activation); THRA->SERPINC1(Repression)
8914017	1	POU1F1->REN(Unknown)
8920856	1	REL->IL2(Unknown)
8921911	1	SP1->SOD1(Activation)
8923453	1	USF1->SCN9A(Unknown)
8931991	1	E2F1->MYH10(Unknown)
8943301	1	USF2->TGFB2(Unknown)
8955077	3	HIF1A->ALDOA(Activation); HIF1A->ENO1(Activation); HIF1A->LDHA(Activation)
8961265	1	SP1->NR4A1(Unknown)
8977179	2	NFKB1->IL2(Unknown); RELA->IL2(Unknown)
8995290	1	MITF->TYRP1(Activation)
8995707	1	EIF2AK2->CD4(Unknown)
8999965	2	ATF1->PCSK1(Activation); CREB1->PCSK1(Activation)
9000137	3	TP53->BAX(Activation); TP53->BCL2(Repression); TP53->BCL2L1(Activation)
9000507	1	BRCA1->SIRT1(Activation)
9013759	1	SP1->NR5A1(Unknown)
9023117	2	NFKB1->TBP(Unknown); RELA->TBP(Unknown)
9028949	1	GATA2->PECAM1(Unknown)
9030974	7	CEBPB->BTS1(Unknown); ETV4->BTS1(Unknown); NFKB1->BST1(Unknown); RELA->BTS1(Unknown); SP1->BTS1(Unknown); TCF3->BTS1(Unknown); TP53->BTS1(Unknown)
9032292	1	POU3F1->GNRH1(Unknown)
9032300	1	SRF->DMD(Unknown)
9038212	1	JUN->CTSL(Activation)
9045619	1	EP300->ERBB2(Unknown)
9049304	2	EGR1->VEGFA(Unknown); TFAP2A->VEGFA(Activation)
9052414	2	AR->KLK3(Unknown); PGR->KLK3(Unknown)
9054665	1	IRF1->IRF2(Activation)
9058643	2	NFKB1->IL1B(Unknown); RELA->IL1B(Unknown)
9062372	2	EGR1->ALOX5(Activation); SP1->ALOX5(Activation)
9064279	2	MYC->CBFB(Unknown); SP1->CBFB(Unknown)
9065434	1	ILF2->IL2(Unknown)
9067290	1	TFAP2A->NME3(Activation)
9071998	1	TP53->MDM2(Unknown)
9076342	1	WT1->IGF1(Repression)
9083102	1	KLF6->PSG5(Unknown)
9084640	1	JUN->IBSP(Unknown)
9092564	1	YY1->COX7C(Activation)
9092567	1	SP1->COL7A1(Unknown)
9092569	1	STAT6->SELE(Repression)
9113387	1	RARG->BGLAP(Activation)
9119380	1	ENO1->MYC(Repression)
9120310	2	NFKB1->CCL5(Activation); RELA->CCL5(Activation)
9135552	6	NFKB1->IL2(Unknown); NFKB1->IL2RA(Unknown); POU2F1->IL2(Unknown); POU2F1->IL2RA(Unknown); RELA->IL2(Unknown); RELA->IL2RA(Unknown)
9144241	1	HES1->ASCL1(Repression)
9148757	1	CDX2->LCT(Activation)
9151857	2	SP1->NFKB1(Activation); SP1->RELA(Activation)
9154817	3	NR3C1->CCND3(Repression); NR3C1->CDK4(Repression); NR3C1->CDK6(Repression)
9154819	2	JUN->TNC(Activation); RELA->TNC(Activation)
9158138	1	MITF->TYR(Unknown)
9164849	2	SP1->ALOX12(Activation); SP3->ALOX12(Activation)
9167960	1	POU1F1->TSHB(Unknown)
9171244	1	YY1->ACTC1(Repression)
9178767	1	PAX2->WT1(Unknown)
9178906	1	MYC->RCC1(Unknown)
9190940	1	PAX5->PRKCE(Unknown)
9192770	2	NFKB1->ICAM1(Unknown); RELA->ICAM1(Unknown)
9199305	2	EGR1->IL2RB(Unknown); SP1->IL2RB(Unknown)
9207063	2	ETS1->EGR1(Unknown); ETS2->EGR1(Unknown)
9207209	1	TIAL1->PF4(Unknown)
9207961	3	POU1F1->GH1(Unknown); POU1F1->PRL(Unknown); POU1F1->TSHB(Unknown)
9209275	1	TBP->IL6(Repression)
9209363	1	RUNX1->CSF1R(Unknown)
9209438	1	GATA4->IL5(Activation)
9211894	1	AR->KLK3(Unknown)
9218479	1	SP1->TYMS(Unknown)
9223667	2	SP1->HGF(Activation); SP3->HGF(Activation)
9231796	3	GATA3->HSD17B1(Repression); SP1->HSD17B1(Activation); TFAP2A->HSD17B1(Repression)
9232190	1	SF1->NR0B1(Unknown)
9233628	2	NFKB1->IL2(Activation); RELA->IL2(Activation)
9238003	2	AR->GTF2F1(Unknown); AR->TBP(Unknown)
9238849	2	E2F1->CREBBP(Unknown); YY1->CREBBP(Unknown)
9241247	1	AR->KLK2(Unknown)
9242687	1	EGR1->TP53(Activation)
9257843	1	SP1->LSP1(Unknown)
9261184	4	NFYA->FAS(Unknown); NFYB->FAS(Unknown); NFYC->FAS(Unknown); SP1->FAS(Unknown)
9265625	1	GTF2F1->BGLAP(Unknown)
9269772	1	RARA->THBD(Activation)
9271374	1	ATF6->SRF(Unknown)
9272862	1	ETV4->GBA(Unknown)
9278455	1	ATF2->IMPDH2(Unknown)
9278494	1	YY1->SURF1(Unknown)
9280058	1	CREM->CCNA2(Repression)
9291179	1	WT1->EGFR(Repression)
9295016	3	SPI1->ITGAM(Activation); SPI1->ITGAX(Repression); SPI1->ITGB2(Activation)
9300687	2	EGR1->FAS(Repression); EGR1->FCER2(Repression)
9300692	1	CIITA->HLA-DRA(Unknown)
9300700	3	CIITA->HLA-DMA(Activation); CIITA->HLA-DMB(Activation); CIITA->SLC26A3(Unknown)
9300785	3	SP1->FAS(Unknown); SREBF1->FAS(Unknown); SREBF2->FAS(Unknown)
9302255	1	NRF1->FMR1(Unknown)
9303434	1	NR3C1->BGLAP(Repression)
9305885	1	SPI1->ITGA2B(Unknown)
9306964	2	ESR1->BCL2(Unknown); PGR->BCL2(Unknown)
9310124	2	NFKB1->IL10(Unknown); REL->IL10(Unknown)
9316650	1	AR->KLK3(Repression)
9326598	1	RB1->E2F1(Repression)
9328468	3	MYC->FMR1(Unknown); NRF1->FMR1(Unknown); SP1->FMR1(Unknown)
9334186	4	FOS->MMP1(Unknown); FOS->MMP3(Unknown); JUN->MMP1(Unknown); JUN->MMP3(Unknown)
9334192	1	SPI1->PEBP1(Activation)
9339900	6	ETV4->CCND2(Activation); MYC->CCND2(Activation); NFYA->CCND2(Activation); NFYB->CCND2(Activation); NFYC->CCND2(Activation); SP1->CCND2(Activation)
9343394	1	TP53->MMP2(Activation)
9359835	1	EGR1->PCSK2(Activation)
9360945	2	NFKB1->POU2F2(Unknown); RELA->POU2F2(Unknown)
9360988	1	CEBPA->ITGAX(Activation)
9367892	1	YY1->PARP1(Unknown)
9370235	1	VHL->VEGFA(Repression)
9374530	1	HSF2->TXN(Unknown)
9374532	2	NFKB1->IFNG(Unknown); RELA->IFNG(Unknown)
9377582	3	JUN->RARA(Repression); JUN->RARB(Activation); JUN->RARG(Repression)
9388261	3	NFKB1->CCL2(Activation); REL->CCL2(Activation); RELA->CCL2(Activation)
9388470	1	USF1->CYP1A1(Repression)
9399940	1	SP1->TINF2(Unknown)
9400991	3	ERCC2->E2F1(Unknown); RB1->E2F1(Repression); TBP->E2F1(Unknown)
9407128	1	CTCF->APP(Activation)
9431991	1	VDR->CXCL8(Activation)
9441739	1	GSC->GSC2(Unknown)
9444957	3	ERG->VWF(Unknown); ETS1->VWF(Unknown); ETS2->VWF(Unknown)
9466822	1	AHR->UGT1A6(Unknown)
9480831	1	CEBPB->ADM(Activation)
9484784	2	WT1->CD14(Activation); WT1->ITGAX(Activation)
9490699	1	SPI1->RNASE2(Activation)
9491997	2	STAT1->CIITA(Activation); USF1->CIITA(Activation)
9492280	2	NFE2L2->SDHB(Unknown); NRF1->SDHB(Unknown)
9494121	2	SP1->F2R(Unknown); SP3->F2R(Unknown)
