id,pubmed_id,tf_input,tf_standard,tf_uniprot,gene_input,gene_ensg,cellline,assay,complex,created_at,ai_flags,ai_notes,ai_reviewed
18,11013233,MAFK,MAFK,O60675,NQO1,ENSG00000181019,Hep-G2,"luciferase reporter assay, Gel Shift/Supershift Assays","MAFK-MAFK, Nrf2-MAFK",,,,0
19,11013233,MAFG,MAFG,O15525,NQO1,ENSG00000181019,Hep-G2,"luciferase reporter assay, Gel Shift/Supershift Assays","MAFG-MAFG, Nrf2-MAFK",,,,0
20,11013233,MAFK,MAFK,O60675,GSTA1,ENSG00000243955,Hep-G2,"luciferase reporter assay, Gel Shift/Supershift Assays","MAFK-MAFK, Nrf2-MAFK",,,,0
21,11013233,MAFG,MAFG,O15525,GSTA1,ENSG00000243955,Hep-G2,"luciferase reporter assay, Gel Shift/Supershift Assays","MAFG-MAFG, Nrf2-MAFK",,,,0
22,11013233,NFE2L1,NFE2L1,Q14494,NQO1,ENSG00000181019,-,citation,,,,,0
23,11013233,NFE2L2,NFE2L2,Q16236,NQO1,ENSG00000181019,-,citation,,,,,0
24,11013233,NFE2L1,NFE2L1,Q14494,GSTA1,ENSG00000243955,-,citation,,,,,0
25,11013233,NFE2L2,NFE2L2,Q16236,GSTA1,ENSG00000243955,-,citation,,,,,0
26,11013233,NFE2L1,NFE2L1,Q14494,HMOX1,ENSG00000100292,-,citation,,,,,0
27,11013233,NFE2L2,NFE2L2,Q16236,HMOX1,ENSG00000100292,-,citation,,,,,0
28,11013233,NFE2L1,NFE2L1,Q14494,GCLC,ENSG00000001084,-,citation,,,,,0
29,11013233,NFE2L2,NFE2L2,Q16236,GCLC,ENSG00000001084,-,citation,,,,,0
30,11013233,MAFK,MAFK,O60675,GCLC,ENSG00000001084,-,citation,MAFK-MAFK,,,,0
31,11013233,MAFG,MAFG,O15525,GCLC,ENSG00000001084,-,citation,MAFG-MAFG,,,,0
32,11013233,MAFK,MAFK,O60675,HBB,ENSG00000244734,-,citation,MAFK-p45,,,,0
33,11013233,MAFG,MAFG,O15525,HBB,ENSG00000244734,-,citation,MAFG-p45,,,,0
34,11013233,MAFK,MAFK,O60675,HBB,ENSG00000244734,-,citation,MAFK-MAFK,,,,0
35,11013233,MAFG,MAFG,O15525,HBB,ENSG00000244734,-,citation,MAFG-MAFG,,,,0
36,18625744,CTCF,CTCF,P49711,CCND1,ENSG00000110092,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR, immunoFISH",,,,,0
37,18625744,POU2F2,POU2F2,P09086,CCND1,ENSG00000110092,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
38,18625744,SP1,SP1,P08047,CCND1,ENSG00000110092,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
39,18625744,NPM1,NPM1,P06748,CCND1,ENSG00000110092,"HBL-2 MCL cell line, Granta, MCF7, NCEB, K562","ChIP, WB, RT-PCR, immunoFISH, shRNA KD, TUNEL assay, IF",,,,,0
40,18625744,CTCF,CTCF,P49711,CTCF,ENSG00000102974,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
41,18625744,POU2F2,POU2F2,P09086,PRDM16,ENSG00000142611,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
42,18625744,SP1,SP1,P08047,SP1,ENSG00000185591,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
43,18625744,NPM1,NPM1,P06748,NPM1,ENSG00000181163,"HBL-2 MCL cell line, Granta","ChIP, WB, RT-PCR",,,,,0
44,15184388,USF2,USF2,Q15853,THBS1,ENSG00000137801,RMCs（tr/cd），MLECs-clone 32,"luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis",,,,,0
45,15184388,USF2,USF2,Q15853,TGFB1,ENSG00000105329,RMCs（tr/cd），MLECs-clone 32,"luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis",,,,,0
46,15184388,USF1,USF1,P22415,TGFB1,ENSG00000105329,-,"citation, and isn't found in this essay",,,,,0
47,15184388,USF1,USF1,P22415,THBS1,ENSG00000137801,RMCs（tr/cd），MLECs-clone 32,"luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis",,,,,0
48,10978529,NFIC,NFIC,P08651,POLD2,ENSG00000106628,COS-7,不建议使用这一篇，方法不对,,,,,0
49,16595680,KLF5,KLF5,Q13887,BIRC5,ENSG00000089685,EU cellline from BCP-ALL patients,"EMSA, ChIP, siRNA knockdown, Co-IP, Northern blog, WB",,,,,0
50,16595680,SP1,SP1,P08047,BIRC5,ENSG00000089685,Hela cellline,citation,,,,,0
51,16595680,TP53,TP53,P04637,BIRC5,ENSG00000089685,-,citation,,,,,0
52,16595680,TCF7L2,TCF7L2,Q9NQB0,BIRC5,ENSG00000089685,-,citation,,,,,0
53,16595680,KLF4,KLF4,O43474,CDKN1A,ENSG00000124762,-,citation,KLF4-p53,,,,0
54,16595680,KLF6,KLF6,Q99612,IGF1R,ENSG00000140443,-,citation,KLF6-p53,,,,0
55,16595680,TP53,TP53,P04637,CDKN1A,ENSG00000124762,-,citation,KLF4-p53,,,,0
56,16595680,TP53,TP53,P04637,IGF1R,ENSG00000140443,-,citation,KLF6-p53,,,,0
57,15195143,E2F4,E2F4,Q16254,MCM10,ENSG00000065328,HCT116,"luciferase reporter assay, RT-PCR, ChIP",,,,,0
58,15195143,E2F4,E2F4,Q16254,TOPBP1,ENSG00000163781,HCT116,"luciferase reporter assay, RT-PCR, ChIP",,,,,0
59,15195143,E2F1,E2F1,Q01094,MCM10,ENSG00000065328,HCT116,"luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB",,,,,0
60,15195143,E2F2,E2F2,Q14209,MCM10,ENSG00000065328,HCT116,"luciferase reporter assay, Site-directed Mutagenesis",,,,,0
61,15195143,E2F3,E2F3,O00716,MCM10,ENSG00000065328,HCT116,"luciferase reporter assay, Site-directed Mutagenesis",,,,,0
62,15195143,E2F1,E2F1,Q01094,TOPBP1,ENSG00000163781,HCT116,"luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB",,,,,0
63,15195143,E2F2,E2F2,Q14209,TOPBP1,ENSG00000163781,HCT116,"luciferase reporter assay, Site-directed Mutagenesis",,,,,0
64,15195143,E2F3,E2F3,O00716,TOPBP1,ENSG00000163781,HCT116,"luciferase reporter assay, Site-directed Mutagenesis",,,,,0
65,11706010,CTCF,CTCF,P49711,APP,ENSG00000142192,"HeLa, COS-1","Immunodepletion, Mobility Shift Electrophoresis, In Vitro Transcription, in vivo competition",,,,,0
66,17204573,STAT3,STAT3,P40763,FOS,ENSG00000170345,primary cells from vastus lateralis,"citation, RT-qPCR",,,,,0
67,17204573,STAT3,STAT3,P40763,JUNB,ENSG00000171223,primary cells from vastus lateralis,"citation, RT-qPCR",,,,,0
68,17204573,STAT3,STAT3,P40763,MYC,ENSG00000136997,primary cells from vastus lateralis,"citation, RT-qPCR",,,,,0
69,17204573,STAT3,STAT3,P40763,CCND1,ENSG00000110092,-,citation,,,,,0
70,17204573,STAT3,STAT3,P40763,BCL2,ENSG00000171791,-,citation,,,,,0
71,17204573,STAT3,STAT3,P40763,BCL2L1,ENSG00000171552,-,citation,,,,,0
72,17204573,STAT3,STAT3,P40763,VEGFA,ENSG00000112715,-primary cells from vastus lateralis,"citation, RT-qPCR",,,,,0
73,19043455,CEBPB,CEBPB,P17676,BCL2L1,ENSG00000171552,MCF10A,"RT-PCR, WB, Luciferase reporter assay, EMSA, ChIP, Site-directed mutagenesis, Overexpression",,,,,0
74,17932312,EGR1,EGR1,P18146,TNFSF10,ENSG00000121858,HUVEC,citation,,,,,0
75,15688019,RUNX3,RUNX3,Q13761,RUNX1,ENSG00000159216,"DG75, Akata31, IB4, LCL-C","EMSA, RPA, Luciferase reporter assay, WB",,,,,0
76,15688019,RUNX3,RUNX3,Q13761,RUNX3,ENSG00000020633,-,citation,,,,,0
77,14642566,NFIC,NFIC,P08651,SMUG1,ENSG00000123415,"Hela, 18Co","luciferase reporter assay, Northern Blog, EMSA, DNase I footprint, site-directed mutagenesis",,,,,0
78,19290488,RUNX3,RUNX3,Q13761,CASP3,ENSG00000164305,"AGS, SNU1, primary cells from the representative cancerous lesions and from adjacent noncancerous tissues","TUNEL assay, WB",,,,,0
79,19290488,RUNX3,RUNX3,Q13761,CDKN1A,ENSG00000124762,-,citation,,,,,0
80,19290488,RUNX3,RUNX3,Q13761,CCND1,ENSG00000110092,-,citation,,,,,0
81,10082553,UBTF,UBTF,P17480,UBTF,ENSG00000108312,HeLa,"Co-IP, In vitro transcription, DNase I footprint assay, SDS-PAGE",,,,,0
82,10211993,ETS1,ETS1,P14921,PLAU,ENSG00000122861,Glioma cells,"antisense knockdown, casein zymography",,,,,0
83,15178343,ARNT,ARNT,P27540,EGLN2,ENSG00000269858,"primary human smooth muscle cells, HCT116","luciferase reporter assay, ChIP(HCT116), RT-PCR",,,,,0
84,15735663,ATF7,ATF7,P17544,CCNA2,ENSG00000145386,-,citation,,,,,0
85,10453008,CEBPA,CEBPA,P49715,CSF2RB,ENSG00000100368,U937,"(maybe) EMSA, site-directed mutagenesis",,,,,0
86,10453008,CEBPB,CEBPB,P17676,CSF2RB,ENSG00000100368,U937,"(maybe) EMSA, site-directed mutagenesis",,,,,0
87,10453008,CEBPE,CEBPE,Q15744,CSF2RB,ENSG00000100368,HL-60,"(maybe) EMSA, site-directed mutagenesis",,,,,0
88,10453008,SPI1,SPI1,P17947,CSF2RB,ENSG00000100368,-,(maybe) citation,,,,,0
